Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,note,Genus,species,FinalID,datetime
Field Observations,MindoTarabita,-0.085842,-78.761954,NA,NA,1,NA,NA,NA,Maxillaria,sp.,Maxillaria sp.,2026-03-06T14:01:00Z
Field Observations,MindoTarabita,-0.085922,-78.76185,NA,NA,1,3.9,NA,NA,Maxillaria,sp.,Maxillaria sp.,2026-03-06T14:04:00Z
Field Observations,MindoTarabita,-0.085922,-78.76185,NA,NA,1,4.6,NA,NA,Maxillaria,sp.,Maxillaria sp.,2026-03-06T14:04:00Z
Field Observations,Yanayacu,-0.5970698,-77.894573,NA,NA,1,3,NA,NA,Ida,sp.,Ida sp.,2026-02-18T16:12:00Z
Field Observations,Yanayacu,-0.5955688,-77.894056,NA,NA,1,NA,NA,NA,Ida,sp.,Ida sp.,2026-02-18T16:27:00Z
Field Observations,Yanayacu,-0.5958342,-77.894057,NA,NA,1,2,NA,NA,Ida,sp.,Ida sp.,2026-02-19T10:07:00Z
Field Observations,Yanayacu,-0.5958342,-77.894057,NA,NA,1,30,NA,NA,Ida,sp.,Ida sp.,2026-02-19T10:07:00Z
Field Observations,Yanayacu,-0.5958342,-77.894057,NA,NA,1,15,NA,NA,Ida,sp.,Ida sp.,2026-02-19T10:07:00Z
Field Observations,Yanayacu,-0.5958342,-77.894057,NA,NA,1,2,NA,NA,Ida,sp.,Ida sp.,2026-02-19T10:07:00Z
Field Observations,Yanayacu,-0.5958342,-77.894057,NA,NA,1,3,NA,NA,Ida,sp.,Ida sp.,2026-02-19T10:07:00Z
Field Observations,Yanayacu,-0.5919292,-77.890811,NA,NA,1,1,NA,NA,Ida,sp.,Ida sp.,2026-02-19T11:24:00Z
Field Observations,Yanayacu,-0.5919292,-77.890811,NA,NA,1,2,NA,NA,Ida,sp.,Ida sp.,2026-02-19T11:24:00Z
Field Observations,Yanayacu,-0.5919292,-77.890811,NA,NA,1,6,NA,NA,Ida,sp.,Ida sp.,2026-02-19T11:24:00Z
Field Observations,Yanayacu,-0.5919292,-77.890811,NA,NA,1,22,NA,NA,Ida,sp.,Ida sp.,2026-02-19T11:24:00Z
Field Observations,Yanayacu,-0.5986211,-77.894486,NA,NA,1,5,NA,NA,Ida,sp.,Ida sp.,2026-02-19T21:10:00Z
